"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet","Manufacturer","MPU"
"BOOT_BTN1","1","SW_Push","","","","Button_Switch_SMD:SW_SPST_SKQG_WithStem","~","Alps Alpine",""
"BOOT_C1,C3,C5,C_ESP2,C_L1,C_L2,C_L3,C_L4,C_L5,C_L6,C_L7,C_L8,C_L9,C_LED10,C_U6,C_USER1,EN_C1","17","0.1µF","","","","Capacitor_SMD:C_0805_2012Metric","~","KEMET",""
"BOOT_R1,EN_R1,R_LIS1,R_LIS2,R_USER1","5","10kΩ","","","","Resistor_SMD:R_0805_2012Metric","~","NA,YAGEO",""
"BTN_USER1","1","SW_Push","","","","Button_Switch_THT:SW_PUSH_6mm","~","Alps Alpine",""
"C1,C2","2","4.7µF","","","","Capacitor_SMD:C_0805_2012Metric","~","Murata Electronics",""
"C4,C6,C_ESP1","3","10µF","","","","Capacitor_SMD:C_0805_2012Metric","~","Samsung Electro-Mechanics",""
"C9,C10,C11","3","1µF","","","","Capacitor_SMD:C_0805_2012Metric","~","Cal-Chip Electronics, Inc.",""
"C12","1","22µF","","","","Capacitor_SMD:C_0805_2012Metric","~","Murata Electronics",""
"D1","1","LED","","","","LED_SMD:LED_0805_2012Metric","~","Würth Elektronik",""
"J2","1","Conn_01x02","","","","Connector_JST:JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal","~","JST Sales America Inc.",""
"J3","1","USB_C_Receptacle_USB2.0_16P","","","","Connector_USB:USB_C_Receptacle_HRO_TYPE-C-31-M-12","https://www.usb.org/sites/default/files/documents/usb_type-c.zip","Same Sky (Formerly CUI Devices)",""
"J_OLED1","1","OLED_I2C","","","","oled:128x64OLED","~","",""
"J_TC2050","1","TC2050","","Excluded from BOM","","Connector:Tag-Connect_TC2050-IDC-NL_2x05_P1.27mm_Vertical","https://www.tag-connect.com/wp-content/uploads/bsk-pdf-manager/TC2050-IDC-NL_Datasheet_8.pdf","",""
"LED1,LED2,LED3,LED4,LED5,LED6,LED7,LED8,LED9,LED10","10","SK6812MINI","","","","LED_SMD:LED-SK6812MINI-E","https://cdn-shop.adafruit.com/product-files/2686/SK6812MINI_REV.01-1-2.pdf","Adafruit",""
"R1,R2","2","5.1k","","","","Resistor_SMD:R_0805_2012Metric","~","Stackpole Electronics Inc","RMCF0805JT5K10"
"R3","1","2kΩ","","","","Resistor_SMD:R_0805_2012Metric","~","Stackpole Electronics Inc",""
"R6","1","470 Ω","","","","Resistor_SMD:R_0805_2012Metric","~","Stackpole Electronics Inc",""
"R8","1","470Ω","","","","Resistor_SMD:R_0805_2012Metric","~","Stackpole Electronics Inc",""
"R_DN1,R_DP1","2","22Ω","","","","Resistor_SMD:R_0805_2012Metric","~","Bourns Inc.",""
"SW3","1","SW_SPDT","","","","Button_Switch_SMD:SW_SPDT_CK_JS102011SAQN","~","C&K",""
"TPS_R1","1","100Ω","","","","Resistor_SMD:R_0805_2012Metric","~","Stackpole Electronics Inc",""
"TS_C1","1","22μF","","","","Capacitor_SMD:C_0805_2012Metric","~","Murata Electronics",""
"TS_C3","1","0.1μF","","","","Capacitor_SMD:C_0805_2012Metric","~","KEMET",""
"TS_CO1,TS_CO2","2","10μF","","","","Capacitor_SMD:C_0805_2012Metric","~","Samsung Electro-Mechanics",""
"U1","1","MCP73831-2-OT","","","","Package_TO_SOT_SMD:SOT-23-5","http://ww1.microchip.com/downloads/en/DeviceDoc/20001984g.pdf","Microchip Technology",""
"U2","1","USBLC6-2SC6","","","","Package_TO_SOT_SMD:SOT-23-6","https://www.st.com/resource/en/datasheet/usblc6-2.pdf","Shenzhen Slkormicro Semicon Co., Ltd.",""
"U3","1","ESP32-S3-WROOM-1","","","","PCM_Espressif:ESP32-S3-WROOM-1","https://www.espressif.com/sites/default/files/documentation/esp32-s3-wroom-1_wroom-1u_datasheet_en.pdf","Espressif Systems",""
"U4","1","TPS2116DRL","","","","Package_TO_SOT_SMD:SOT-583-8","https://www.ti.com/lit/ds/symlink/tps2116.pdf","Texas Instruments",""
"U6","1","SN74LV1T34DBV","","","","Package_TO_SOT_SMD:SOT-23-5","https://www.ti.com/lit/ds/symlink/sn74lv1t34.pdf","Texas Instruments",""
"U7","1","TPS63001","","","","Package_SON:Texas_DRC0010J_ThermalVias","http://www.ti.com/lit/ds/symlink/tps63000.pdf","Texas Instruments",""
"U7_L1","1","VLF4012","","","","Inductor_SMD:L_Taiyo-Yuden_MD-4040","~","Taiyo Yuden",""
